time_s,target_x,target_y,target_z,position_x,position_y,position_z,pd_x,pd_y,pd_z,position_error_m,pd_error_m,tau_base,tau_shoulder,tau_elbow
5.400000000000003686e-01,1.070647279714545874e+00,1.435582176990739534e-01,7.199999999999999734e-01,1.073684014363940786e+00,1.354918811175092885e-01,7.195883851796447406e-01,1.068044054415372646e+00,1.457677966013564419e-01,7.126872338299692355e-01,8.628845226231609405e-03,8.070661059740611570e-03,-5.700448255709714473e+00,-3.059147362406975290e+01,-7.715398064769551922e-01
5.760000000000004006e-01,1.059018227923841149e+00,1.487173452315819211e-01,7.199999999999999734e-01,1.062075660287410850e+00,1.414396277554885450e-01,7.197346558659836191e-01,1.056283040033139997e+00,1.506264357381037200e-01,7.127819622204224492e-01,7.898320823383615102e-03,7.951474627195781464e-03,-5.072560815871920425e+00,-3.053182019692366467e+01,-6.591481654817847868e-01
6.120000000000004325e-01,1.047016043894067439e+00,1.529362338249217468e-01,7.199999999999999734e-01,1.050066706067852351e+00,1.464907048904519615e-01,7.198479769609881229e-01,1.044172425749328559e+00,1.545344580160696868e-01,7.128817838047220024e-01,7.132635834531277433e-03,7.830037453357184887e-03,-4.409680390145581441e+00,-3.044113638750809514e+01,-5.490050032650692913e-01
6.480000000000004645e-01,1.034716609297010814e+00,1.561882103070481309e-01,7.199999999999999734e-01,1.037733385667517272e+00,1.506152292666075032e-01,7.199286092235785972e-01,1.031788728667321742e+00,1.574671406009754970e-01,7.129860569754497002e-01,6.337519545509494139e-03,7.707369488357947336e-03,-3.714296972134983221e+00,-3.031992859651093752e+01,-4.417532957442702468e-01
6.840000000000004965e-01,1.022197685118250821e+00,1.584527146356002891e-01,7.199999999999999734e-01,1.025154235696439597e+00,1.537892075594360641e-01,7.199772578880092588e-01,1.019210164951717124e+00,1.594059186798399419e-01,7.130941620514419377e-01,5.521775690344545885e-03,7.584488939087762754e-03,-2.989169620376674885e+00,-3.016902388198493412e+01,-3.382495576408004467e-01
7.200000000000005285e-01,1.009538420027171091e+00,1.597154298851092835e-01,7.199999999999999734e-01,1.012409617424780528e+00,1.559946405189372443e-01,7.199950540842736668e-01,1.006516164932059976e+00,1.603384898858083440e-01,7.132054820812244733e-01,4.699794938669186843e-03,7.462419404788071635e-03,-2.237347873063226800e+00,-2.998956919709604918e+01,-2.395206642272675879e-01
7.560000000000005604e-01,9.968188499735888275e-01,1.599683727632104924e-01,7.199999999999999734e-01,9.995812237439405390e-01,1.572195867836547190e-01,7.199835315930461777e-01,9.937868782008493218e-01,1.602588824717903204e-01,7.133193936339353725e-01,3.897025072662109544e-03,7.342189737385649770e-03,-1.462193797581634591e+00,-2.978303689318899217e+01,-1.467195269913119660e-01
7.920000000000005924e-01,9.841193921747101170e-01,1.592099440835883783e-01,7.199999999999999734e-01,9.867515728077557169e-01,1.574581836687008463e-01,7.199445985067202125e-01,9.811026729796019641e-01,1.591674855396908450e-01,7.134352627151229198e-01,3.162294856841294487e-03,7.224830312854332512e-03,-6.674059749194942714e-01,-2.955123203753691286e+01,-6.108190507124078295e-02
8.280000000000006244e-01,9.715203366915919903e-01,1.574449388765473135e-01,7.199999999999999734e-01,9.740034897849810802e-01,1.567106240456065391e-01,7.198805032583754926e-01,9.685436335049781853e-01,1.570710406299441753e-01,7.135524430146126251e-01,2.592208908904962070e-03,7.111367859970883949e-03,1.429539049537782436e-01,-2.929629824274369199e+01,1.611451000584906978e-02
8.640000000000006564e-01,9.591013388095239733e-01,1.546845160732859270e-01,7.199999999999999734e-01,9.614195779286305310e-01,1.549830896836698613e-01,7.197937943107739489e-01,9.561890588567851790e-01,1.539825946872347140e-01,7.136702748512815386e-01,2.346465341837127017e-03,7.002820047212332880e-03,9.644318207755648853e-01,-2.902071910738798621e+01,8.358842028772173194e-02
9.000000000000006883e-01,9.469409154316691390e-01,1.509461279555415203e-01,7.199999999999999734e-01,9.490816800289736399e-01,1.522876425140406442e-01,7.196872726499001782e-01,9.441169664265642858e-01,1.499214149644031713e-01,7.137880838538264161e-01,2.545649773090917761e-03,6.900190352789705925e-03,1.792150359583595254e+00,-2.872731236691903689e+01,1.400908218249945492e-01
9.360000000000007203e-01,9.351159486699209822e-01,1.462534098166455299e-01,7.199999999999999734e-01,9.370703313037984650e-01,1.486420763784124244e-01,7.195639361623134000e-01,9.324036030632351091e-01,1.449128668674449227e-01,7.139051788478418814e-01,3.116968253518650426e-03,6.804463165125762200e-03,2.620777618072020587e+00,-2.841921368518735491e+01,1.844388261900604675e-01
9.720000000000007523e-01,9.237011997714390521e-01,1.406360305315893788e-01,7.199999999999999734e-01,9.254642049502118661e-01,1.440697329888843692e-01,7.194269150478116437e-01,9.211229668077162147e-01,1.389882561025706786e-01,7.140208487435889539e-01,3.902169420724594523e-03,6.716598509007101064e-03,3.444499096578899966e+00,-2.809984687004955362e+01,2.155477066372384343e-01
