time_s,target_x,target_y,target_z,kinematic_x,kinematic_y,kinematic_z,mujoco_x,mujoco_y,mujoco_z,kinematic_error_m,mujoco_error_m
2.640000000000001790e-01,1.136976181796974128e+00,1.167798168363106959e-01,7.199999999999999734e-01,1.137804676373371571e+00,1.155820916685185440e-01,7.199899018037342335e-01,1.143270541608278235e+00,9.000828237224740846e-02,7.173618310379790142e-01,1.456382784246826323e-03,2.762777512697791107e-02
2.880000000000002003e-01,1.128397450856388318e+00,1.261510785272219326e-01,7.199999999999999734e-01,1.129307010191305416e+00,1.250136232317212714e-01,7.199870869183851996e-01,1.135110305735014702e+00,1.002104901872187537e-01,7.179846307122874638e-01,1.456457854067229893e-03,2.687076957239709768e-02
3.120000000000002216e-01,1.119179050274224041e+00,1.348938618905025089e-01,7.199999999999999734e-01,1.120164997991629274e+00,1.338230555587964221e-01,7.199840156678516401e-01,1.126261134678404385e+00,1.099437664557306737e-01,7.185755227205594675e-01,1.455669811582511412e-03,2.597484008096679481e-02
3.360000000000002429e-01,1.109366905658481839e+00,1.429646108192119680e-01,7.199999999999999734e-01,1.110424157125155631e+00,1.419665608349159891e-01,7.199807198757681714e-01,1.116766715874705884e+00,1.191413422272535605e-01,7.191256442412593541e-01,1.454048196631556626e-03,2.496136646166568704e-02
3.600000000000002642e-01,1.099009900620071534e+00,1.503231172481583888e-01,7.199999999999999734e-01,1.100132982840556828e+00,1.494036246177845029e-01,7.199772350941767707e-01,1.106673984933055355e+00,1.277462444818249498e-01,7.196285095292319633e-01,1.451653750802582446e-03,2.384515417089192596e-02
3.840000000000002855e-01,1.088159633237121060e+00,1.569327214684569372e-01,7.199999999999999734e-01,1.089342706510937120e+00,1.560972463003514055e-01,7.199736007658587011e-01,1.096032922360331341e+00,1.357092257543759117e-01,7.200793789821755553e-01,1.448577939671201031e-03,2.263695547033850453e-02
4.080000000000003069e-01,1.076870158995947735e+00,1.627604947643552791e-01,7.199999999999999734e-01,1.078107040457516819e+00,1.620141218725730248e-01,7.199698603928875729e-01,1.084896348023569601e+00,1.429874516701591936e-01,7.204748620116123714e-01,1.444941742589495254e-03,2.134522048239665890e-02
4.320000000000003282e-01,1.065197721489342886e+00,1.677774034624391064e-01,7.199999999999999734e-01,1.066481910665673771e+00,1.671248080805649572e-01,7.199660616961560677e-01,1.073319705626127440e+00,1.495436811197910221e-01,7.208126652379619470e-01,1.440893605203613084e-03,1.997737924693716513e-02
4.560000000000003495e-01,1.053200472213823069e+00,1.719584535759327848e-01,7.199999999999999734e-01,1.054525178741529956e+00,1.714038671794029245e-01,7.199622567443547672e-01,1.061360833773017598e+00,1.553457630056800376e-01,7.210914302491998606e-01,1.436606421088222662e-03,1.854087939523400494e-02
4.800000000000003708e-01,1.040938180861799234e+00,1.752828153234840536e-01,7.199999999999999734e-01,1.042296354503134515e+00,1.748299915792335957e-01,7.199585020236329846e-01,1.049079722653610158e+00,1.603663326925833799e-01,7.213106259361836692e-01,1.432273390598839263e-03,1.704417487502292439e-02
