method,total_timesteps,success_rate,final_error,steps,return,control_effort
vanilla_ppo,4096,0.0,2.5406477362423954,500.0,-777.7346742252065,4846.776400058029
residual_ppo,4096,1.0,0.047742292192737436,246.0,-119.5488193980386,1372.9302901554213
